Respondent_ID,Age_Group,Height_Group,City_Type,Occupation,Monthly_Personal_Income,Body_Shape,Shopping_Frequency,Shopping_Channels,Clothing_Types_Bought,Fit_Issue_Frequency,Biggest_Fit_Issues,Fit_Frustration_Score,Skipped_Purchase_Due_To_Fit,Alteration_Frequency,Monthly_Alteration_Spend,Online_Return_Frequency,Return_Reasons,Preferred_Bottomwear,Preferred_Topwear,Preferred_Dress_Types,Preferred_Colors,Budget_Per_Item,Pay_20_Percent_More_For_Perfect_Fit,Switch_Brand_For_Better_Fit,Purchase_Likelihood
PF100011,23–27,5’0” – 5’2”,Tier 2,Working Professional,"Below ₹20,000",Apple (midsection wider),Monthly,"Amazon / Flipkart, Local stores, Ajio",Dresses,Often,Waist not fitting properly,4,Rarely,Often,₹0,Never,Other,Slim fit jeans,"Crop tops, Formal shirts","Bodycon, Midi dresses","Bright colors, Pastel, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely will buy
PF100012,36–45,5’2” – 5’3”,Tier 2,Student,"Below ₹20,000",Not sure,Once every 2–3 months,"Local stores, Myntra","Tops / Shirts, Jeans / Trousers, Dresses",Rarely,"Pants too long, Sleeves too long",3,Never,Never,₹0,Sometimes,Size inconsistency,"Wide-leg pants, Straight jeans","Casual tops, Crop tops, Formal shirts","Maxi dresses, A-line",Dark tones,"₹1,000 – ₹2,000",Will not buy,Maybe,Maybe
PF100013,23–27,5’0” – 5’2”,Tier 2,Working Professional,"Above ₹1,00,000",Hourglass,Monthly,"Amazon / Flipkart, Instagram brands","Dresses, Jeans / Trousers, Tops / Shirts",Always,"Sleeves too long, Waist not fitting properly, Dresses too long",5,"Yes, sometimes",Always,₹100–₹300,Sometimes,"Poor fit, Size inconsistency",Formal trousers,"Crop tops, Formal shirts, Casual tops","Bodycon, Midi dresses",Dark tones,"Above ₹5,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100014,18–22,5’0” – 5’2”,Tier 1 (Metro),Other,"Below ₹20,000",Rectangle (straight),Once every 2–3 months,"Myntra, Local stores, Zara / H&M","Ethnic wear (Kurtas, sets), Tops / Shirts",Always,Sleeves too long,5,Rarely,Sometimes,₹700+,Never,Other,Wide-leg pants,Fitted tops,"Midi dresses, Mini dresses","Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,Maybe,Likely
PF100015,Under 18,4’10” – 5’0”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Rectangle (straight),Once every 2–3 months,Zara / H&M,Jeans / Trousers,Rarely,Pants too long,4,"Yes, frequently",Always,₹0,Sometimes,"Size inconsistency, Fabric quality","Formal trousers, Straight jeans, Wide-leg pants","Formal shirts, Fitted tops, Crop tops",Bodycon,"Dark tones, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Likely
PF100016,28–35,4’10” – 5’0”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Monthly,"Local stores, Myntra","Ethnic wear (Kurtas, sets)",Often,Poor overall proportion,3,Rarely,Often,₹100–₹300,Very often,"Poor fit, Size inconsistency","Formal trousers, Straight jeans","Crop tops, Casual tops",Maxi dresses,"Neutral (Black, White, Beige), Dark tones","₹2,000 – ₹3,000",Likely buy,Maybe,Definitely will buy
PF100017,36–45,Above 5’3”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Hourglass,Monthly,"Myntra, Ajio","Dresses, Ethnic wear (Kurtas, sets), Tops / Shirts",Sometimes,"Waist not fitting properly, Pants too long",3,"Yes, frequently",Never,₹0,Sometimes,"Poor fit, Size inconsistency",Formal trousers,"Crop tops, Formal shirts, Fitted tops","Maxi dresses, A-line",Pastel,"₹2,000 – ₹3,000",Depends,Maybe,Unlikely
PF100018,23–27,5’0” – 5’2”,Tier 1 (Metro),Self-employed,"Below ₹20,000",Pear (hips wider),Monthly,"Myntra, Zara / H&M","Jeans / Trousers, Ethnic wear (Kurtas, sets), Tops / Shirts",Often,"Poor overall proportion, Waist not fitting properly, Dresses too long",5,"Yes, sometimes",Sometimes,₹100–₹300,Sometimes,Size inconsistency,"Cropped pants, Formal trousers",Oversized tops,"Mini dresses, Bodycon","Bright colors, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,Maybe,Definitely will buy
PF100019,28–35,4’10” – 5’0”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Weekly,Zara / H&M,"Tops / Shirts, Jeans / Trousers",Rarely,"Waist not fitting properly, Pants too long",2,Never,Never,₹0,Never,Other,"Formal trousers, Straight jeans, Slim fit jeans",Casual tops,Bodycon,"Dark tones, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Will not buy,No,Maybe
PF100020,23–27,4’10” – 5’0”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Once every 2–3 months,"Zara / H&M, Myntra, Ajio","Jeans / Trousers, Activewear, Dresses",Often,"Dresses too long, Sleeves too long, Waist not fitting properly",5,"Yes, sometimes",Always,₹100–₹300,Rarely,Fabric quality,Straight jeans,Casual tops,"Maxi dresses, Bodycon","Dark tones, Neutral (Black, White, Beige), Pastel","₹2,000 – ₹3,000",Depends,Maybe,Definitely will buy
PF100021,23–27,4’10” – 5’0”,Tier 3 / Smaller town,Working Professional,"₹50,000 – ₹1,00,000",Apple (midsection wider),Monthly,"Local stores, Amazon / Flipkart","Jeans / Trousers, Tops / Shirts",Often,Poor overall proportion,4,"Yes, sometimes",Often,₹100–₹300,Rarely,"Fabric quality, Style mismatch",Straight jeans,Casual tops,"Mini dresses, A-line","Neutral (Black, White, Beige), Pastel, Dark tones","₹3,000 – ₹5,000",Depends,Maybe,Likely
PF100022,18–22,5’2” – 5’3”,Tier 3 / Smaller town,Working Professional,"₹20,000 – ₹50,000",Hourglass,Once every 2–3 months,"Myntra, Amazon / Flipkart, Ajio",Tops / Shirts,Rarely,Dresses too long,2,"Yes, sometimes",Sometimes,₹700+,Rarely,"Poor fit, Size inconsistency",Straight jeans,"Formal shirts, Casual tops, Fitted tops",Bodycon,"Neutral (Black, White, Beige), Pastel","₹1,000 – ₹2,000",Unlikely,No,Maybe
PF100023,28–35,5’0” – 5’2”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Hourglass,Once every 2–3 months,Ajio,"Activewear, Tops / Shirts, Jeans / Trousers",Sometimes,Pants too long,4,"Yes, sometimes",Always,₹100–₹300,Sometimes,Size inconsistency,"Slim fit jeans, Formal trousers","Crop tops, Casual tops, Formal shirts","A-line, Midi dresses","Dark tones, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely will buy
PF100024,18–22,5’0” – 5’2”,Tier 3 / Smaller town,Student,No income,Not sure,Once every 2–3 months,"Amazon / Flipkart, Local stores","Jeans / Trousers, Tops / Shirts, Ethnic wear (Kurtas, sets)",Often,Pants too long,4,Rarely,Always,₹700+,Rarely,Fabric quality,"Formal trousers, Wide-leg pants, Straight jeans","Crop tops, Fitted tops, Formal shirts",Midi dresses,"Bright colors, Pastel","Below ₹1,000",Depends,Maybe,Definitely will buy
PF100025,23–27,4’10” – 5’0”,Tier 2,Student,No income,Hourglass,Once every 2–3 months,"Local stores, Myntra","Jeans / Trousers, Activewear",Rarely,"Waist not fitting properly, Dresses too long",1,Rarely,Always,₹100–₹300,Never,Other,"Straight jeans, Formal trousers, Slim fit jeans","Casual tops, Crop tops, Fitted tops",Bodycon,"Pastel, Dark tones","Below ₹1,000",Depends,Maybe,Unlikely
PF100026,23–27,5’2” – 5’3”,Tier 3 / Smaller town,Student,No income,Rectangle (straight),Monthly,Myntra,Tops / Shirts,Sometimes,"Sleeves too long, Pants too long",3,Rarely,Never,₹0,Rarely,Poor fit,"Cropped pants, Wide-leg pants","Fitted tops, Crop tops, Formal shirts","A-line, Bodycon","Bright colors, Neutral (Black, White, Beige), Dark tones","Below ₹1,000",Unlikely,Maybe,Likely
PF100027,23–27,5’2” – 5’3”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Hourglass,Once every 2–3 months,"Amazon / Flipkart, Local stores, Myntra","Dresses, Tops / Shirts",Often,Pants too long,3,Rarely,Always,₹100–₹300,Sometimes,Size inconsistency,Formal trousers,Formal shirts,"Midi dresses, Bodycon","Neutral (Black, White, Beige), Dark tones","₹3,000 – ₹5,000",Depends,Maybe,Definitely will buy
PF100028,Under 18,5’0” – 5’2”,Tier 2,Student,No income,Apple (midsection wider),Weekly,"Ajio, Instagram brands, Myntra","Tops / Shirts, Jeans / Trousers, Activewear",Sometimes,Pants too long,2,Never,Often,₹700+,Never,Other,"Slim fit jeans, Cropped pants, Formal trousers","Fitted tops, Oversized tops, Crop tops","Mini dresses, A-line","Neutral (Black, White, Beige), Dark tones, Pastel","Below ₹1,000",Unlikely,No,Unlikely
PF100029,23–27,Above 5’3”,Tier 3 / Smaller town,Student,"₹20,000 – ₹50,000",Not sure,Monthly,"Local stores, Ajio",Jeans / Trousers,Never,No issue,1,Rarely,Never,₹0,Often,Poor fit,"Straight jeans, Cropped pants, Formal trousers","Fitted tops, Crop tops",A-line,"Pastel, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Unlikely,No,Definitely not
PF100030,23–27,Above 5’3”,Tier 1 (Metro),Student,"Below ₹20,000",Hourglass,Rarely,"Ajio, Instagram brands, Zara / H&M",Dresses,Rarely,Pants too long,2,"Yes, sometimes",Never,₹0,Rarely,"Poor fit, Style mismatch","Slim fit jeans, Formal trousers","Casual tops, Crop tops","A-line, Mini dresses","Dark tones, Pastel","₹1,000 – ₹2,000",Will not buy,Maybe,Definitely not
PF100031,23–27,5’0” – 5’2”,Tier 2,Working Professional,"Below ₹20,000",Rectangle (straight),Monthly,"Ajio, Local stores","Dresses, Ethnic wear (Kurtas, sets)",Sometimes,"Pants too long, Dresses too long, Waist not fitting properly",3,"Yes, frequently",Never,₹300–₹700,Rarely,"Fabric quality, Poor fit",Wide-leg pants,Casual tops,"Midi dresses, A-line","Bright colors, Neutral (Black, White, Beige), Pastel","₹1,000 – ₹2,000",Depends,"Yes, definitely",Maybe
PF100032,36–45,5’2” – 5’3”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Once every 2–3 months,"Myntra, Local stores","Ethnic wear (Kurtas, sets)",Never,No issue,2,Rarely,Often,₹300–₹700,Never,Other,"Straight jeans, Formal trousers, Wide-leg pants","Formal shirts, Oversized tops, Casual tops",A-line,"Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Unlikely,No,Maybe
PF100033,Under 18,Above 5’3”,Tier 2,Student,"Below ₹20,000",Hourglass,Monthly,Local stores,Jeans / Trousers,Rarely,"Waist not fitting properly, Sleeves too long, Dresses too long",2,"Yes, sometimes",Never,₹0,Rarely,Size inconsistency,"Wide-leg pants, Formal trousers, Slim fit jeans","Crop tops, Casual tops, Formal shirts",Maxi dresses,"Pastel, Bright colors, Dark tones","₹1,000 – ₹2,000",Will not buy,Maybe,Definitely not
PF100034,18–22,Below 4’10”,Tier 1 (Metro),Student,No income,Pear (hips wider),Once every 2–3 months,"Local stores, Instagram brands","Jeans / Trousers, Tops / Shirts",Sometimes,"Poor overall proportion, Waist not fitting properly, Sleeves too long",2,Never,Never,₹0,Never,Other,"Formal trousers, Straight jeans, Cropped pants","Fitted tops, Formal shirts",Mini dresses,"Pastel, Dark tones","₹1,000 – ₹2,000",Will not buy,No,Maybe
PF100035,18–22,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Hourglass,Monthly,"Myntra, Local stores",Activewear,Never,No issue,1,Never,Always,₹0,Sometimes,"Poor fit, Other","Formal trousers, Slim fit jeans","Fitted tops, Casual tops",Maxi dresses,Pastel,"₹3,000 – ₹5,000",Depends,No,Maybe
PF100036,23–27,Above 5’3”,Tier 1 (Metro),Working Professional,"Above ₹1,00,000",Hourglass,Monthly,"Local stores, Ajio, Zara / H&M","Jeans / Trousers, Activewear",Sometimes,Pants too long,3,"Yes, sometimes",Never,₹0,Rarely,Poor fit,"Wide-leg pants, Slim fit jeans, Formal trousers",Formal shirts,"Bodycon, Midi dresses","Pastel, Neutral (Black, White, Beige), Bright colors","₹3,000 – ₹5,000",Depends,Maybe,Unlikely
PF100037,28–35,4’10” – 5’0”,Tier 1 (Metro),Self-employed,"₹50,000 – ₹1,00,000",Hourglass,Monthly,Local stores,"Ethnic wear (Kurtas, sets), Jeans / Trousers, Tops / Shirts",Often,"Pants too long, Sleeves too long",4,"Yes, frequently",Always,₹100–₹300,Often,Poor fit,"Slim fit jeans, Wide-leg pants","Casual tops, Fitted tops, Crop tops",Maxi dresses,"Bright colors, Neutral (Black, White, Beige), Dark tones","₹3,000 – ₹5,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100038,18–22,5’0” – 5’2”,Tier 3 / Smaller town,Homemaker,No income,Rectangle (straight),Rarely,"Ajio, Myntra","Dresses, Ethnic wear (Kurtas, sets)",Sometimes,"Poor overall proportion, Waist not fitting properly, Sleeves too long",4,"Yes, frequently",Often,₹100–₹300,Sometimes,"Size inconsistency, Poor fit",Slim fit jeans,Fitted tops,Midi dresses,"Prints, Pastel, Neutral (Black, White, Beige)","Below ₹1,000",Likely buy,"Yes, definitely",Definitely will buy
PF100039,28–35,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Hourglass,Monthly,Ajio,Tops / Shirts,Often,Sleeves too long,4,"Yes, frequently",Often,₹300–₹700,Sometimes,Fabric quality,"Wide-leg pants, Straight jeans","Casual tops, Formal shirts","Maxi dresses, Midi dresses","Neutral (Black, White, Beige), Dark tones, Pastel","₹2,000 – ₹3,000",Definitely buy,"Yes, definitely",Maybe
PF100040,28–35,4’10” – 5’0”,Tier 3 / Smaller town,Other,"₹20,000 – ₹50,000",Pear (hips wider),Once every 2–3 months,Ajio,"Ethnic wear (Kurtas, sets), Tops / Shirts, Dresses",Always,"Waist not fitting properly, Pants too long",4,"Yes, frequently",Often,₹100–₹300,Sometimes,Poor fit,Wide-leg pants,"Fitted tops, Formal shirts","A-line, Midi dresses",Bright colors,"₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely will buy
PF100041,28–35,4’10” – 5’0”,Tier 1 (Metro),Working Professional,"Above ₹1,00,000",Rectangle (straight),Monthly,"Local stores, Myntra, Instagram brands","Dresses, Jeans / Trousers, Ethnic wear (Kurtas, sets)",Often,"Pants too long, Poor overall proportion, Waist not fitting properly",4,"Yes, frequently",Always,₹100–₹300,Rarely,Poor fit,Straight jeans,Fitted tops,Maxi dresses,"Pastel, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Likely buy,"Yes, definitely",Definitely will buy
PF100042,18–22,5’0” – 5’2”,Tier 1 (Metro),Student,No income,Pear (hips wider),Rarely,"Ajio, Myntra, Local stores","Jeans / Trousers, Dresses, Tops / Shirts",Sometimes,"Waist not fitting properly, Pants too long, Dresses too long",3,"Yes, sometimes",Often,₹0,Rarely,"Size inconsistency, Fabric quality","Straight jeans, Wide-leg pants","Fitted tops, Casual tops",Bodycon,"Bright colors, Neutral (Black, White, Beige), Dark tones","₹1,000 – ₹2,000",Depends,Maybe,Likely
PF100043,23–27,Above 5’3”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Rectangle (straight),Monthly,"Zara / H&M, Ajio","Dresses, Ethnic wear (Kurtas, sets)",Rarely,"Pants too long, Sleeves too long",2,Rarely,Never,₹0,Sometimes,Poor fit,"Wide-leg pants, Formal trousers","Casual tops, Fitted tops, Formal shirts","A-line, Mini dresses","Pastel, Bright colors, Dark tones","₹3,000 – ₹5,000",Unlikely,No,Definitely not
PF100044,23–27,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Apple (midsection wider),Rarely,"Instagram brands, Myntra","Tops / Shirts, Dresses",Always,"Dresses too long, Pants too long",4,"Yes, frequently",Often,₹100–₹300,Very often,"Style mismatch, Poor fit",Formal trousers,"Formal shirts, Fitted tops","Midi dresses, A-line","Neutral (Black, White, Beige), Pastel, Dark tones","₹3,000 – ₹5,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100045,23–27,4’10” – 5’0”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Apple (midsection wider),Weekly,Zara / H&M,"Jeans / Trousers, Tops / Shirts, Dresses",Often,"Sleeves too long, Pants too long",5,"Yes, frequently",Often,₹100–₹300,Rarely,Poor fit,Straight jeans,"Casual tops, Formal shirts","Midi dresses, A-line","Neutral (Black, White, Beige), Dark tones","₹3,000 – ₹5,000",Definitely buy,"Yes, definitely",Definitely will buy
PF100046,45+,4’10” – 5’0”,Tier 2,Homemaker,No income,Rectangle (straight),Monthly,"Myntra, Amazon / Flipkart","Dresses, Tops / Shirts",Often,"Sleeves too long, Poor overall proportion",5,"Yes, sometimes",Always,₹100–₹300,Never,Other,Formal trousers,"Oversized tops, Fitted tops, Formal shirts",A-line,"Pastel, Neutral (Black, White, Beige), Dark tones","₹1,000 – ₹2,000",Depends,"Yes, definitely",Definitely will buy
PF100047,28–35,5’0” – 5’2”,Tier 1 (Metro),Homemaker,No income,Hourglass,Once every 2–3 months,"Amazon / Flipkart, Instagram brands, Zara / H&M","Jeans / Trousers, Tops / Shirts, Ethnic wear (Kurtas, sets)",Rarely,"Pants too long, Sleeves too long",3,"Yes, sometimes",Often,₹100–₹300,Rarely,"Poor fit, Other","Straight jeans, Cropped pants, Formal trousers","Fitted tops, Formal shirts, Crop tops",Maxi dresses,"Neutral (Black, White, Beige), Bright colors","₹1,000 – ₹2,000",Depends,Maybe,Unlikely
PF100048,28–35,4’10” – 5’0”,Tier 1 (Metro),Self-employed,"₹50,000 – ₹1,00,000",Rectangle (straight),Monthly,"Zara / H&M, Myntra, Amazon / Flipkart",Tops / Shirts,Sometimes,"Sleeves too long, Dresses too long",4,"Yes, sometimes",Always,₹300–₹700,Never,Other,"Wide-leg pants, Formal trousers","Casual tops, Fitted tops",A-line,"Pastel, Dark tones, Bright colors","₹3,000 – ₹5,000",Likely buy,"Yes, definitely",Definitely will buy
PF100049,Under 18,4’10” – 5’0”,Tier 2,Student,"Below ₹20,000",Hourglass,Monthly,"Myntra, Ajio","Ethnic wear (Kurtas, sets)",Often,"Sleeves too long, Dresses too long, Pants too long",5,"Yes, sometimes",Always,₹300–₹700,Rarely,"Poor fit, Style mismatch","Straight jeans, Formal trousers","Oversized tops, Fitted tops","Midi dresses, Mini dresses","Pastel, Bright colors, Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Likely buy,"Yes, definitely",Definitely will buy
PF100050,18–22,Below 4’10”,Tier 1 (Metro),Student,No income,Pear (hips wider),Monthly,Myntra,"Ethnic wear (Kurtas, sets), Tops / Shirts, Dresses",Always,"Waist not fitting properly, Sleeves too long",5,"Yes, sometimes",Always,₹700+,Sometimes,"Poor fit, Fabric quality","Cropped pants, Straight jeans","Formal shirts, Casual tops, Crop tops",Mini dresses,"Neutral (Black, White, Beige), Dark tones, Bright colors","₹1,000 – ₹2,000",Depends,Maybe,Definitely will buy
PF100051,28–35,5’0” – 5’2”,Tier 3 / Smaller town,Student,"₹50,000 – ₹1,00,000",Rectangle (straight),Rarely,Myntra,Activewear,Sometimes,"Dresses too long, Pants too long",2,Never,Often,₹100–₹300,Never,Other,Slim fit jeans,Formal shirts,"Maxi dresses, Mini dresses","Dark tones, Pastel","Below ₹1,000",Unlikely,Maybe,Maybe
PF100052,18–22,5’0” – 5’2”,Tier 3 / Smaller town,Working Professional,No income,Pear (hips wider),Monthly,"Myntra, Amazon / Flipkart, Ajio","Tops / Shirts, Ethnic wear (Kurtas, sets)",Always,"Pants too long, Poor overall proportion, Sleeves too long",3,"Yes, sometimes",Never,₹0,Rarely,"Poor fit, Style mismatch",Straight jeans,"Oversized tops, Fitted tops","Mini dresses, Bodycon",Bright colors,"₹1,000 – ₹2,000",Unlikely,Maybe,Maybe
PF100053,23–27,5’2” – 5’3”,Tier 1 (Metro),Working Professional,"Below ₹20,000",Rectangle (straight),Monthly,Myntra,"Tops / Shirts, Ethnic wear (Kurtas, sets)",Sometimes,"Pants too long, Waist not fitting properly",2,Never,Never,₹0,Rarely,"Size inconsistency, Fabric quality","Wide-leg pants, Formal trousers, Straight jeans","Fitted tops, Casual tops, Formal shirts","Maxi dresses, A-line","Neutral (Black, White, Beige), Pastel","₹2,000 – ₹3,000",Will not buy,Maybe,Maybe
PF100054,28–35,Below 4’10”,Tier 2,Student,"₹20,000 – ₹50,000",Hourglass,Once every 2–3 months,"Ajio, Zara / H&M","Tops / Shirts, Ethnic wear (Kurtas, sets), Activewear",Always,"Pants too long, Waist not fitting properly",4,"Yes, frequently",Often,₹100–₹300,Rarely,"Poor fit, Fabric quality","Straight jeans, Formal trousers","Fitted tops, Casual tops, Crop tops","Midi dresses, Mini dresses",Dark tones,"₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely will buy
PF100055,23–27,5’0” – 5’2”,Tier 3 / Smaller town,Self-employed,"₹20,000 – ₹50,000",Pear (hips wider),Once every 2–3 months,"Myntra, Amazon / Flipkart","Ethnic wear (Kurtas, sets), Jeans / Trousers, Dresses",Always,Dresses too long,4,Never,Always,₹100–₹300,Never,Other,"Formal trousers, Straight jeans","Fitted tops, Formal shirts, Casual tops","Maxi dresses, A-line","Neutral (Black, White, Beige), Dark tones","₹1,000 – ₹2,000",Depends,Maybe,Likely
PF100056,23–27,5’2” – 5’3”,Tier 2,Working Professional,"₹50,000 – ₹1,00,000",Apple (midsection wider),Once every 2–3 months,"Instagram brands, Myntra, Ajio",Dresses,Often,"Pants too long, Poor overall proportion, Sleeves too long",4,"Yes, sometimes",Often,₹100–₹300,Sometimes,Poor fit,Slim fit jeans,"Oversized tops, Fitted tops",A-line,"Neutral (Black, White, Beige), Dark tones, Bright colors","₹3,000 – ₹5,000",Likely buy,"Yes, definitely",Definitely will buy
PF100057,23–27,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Rectangle (straight),Monthly,Myntra,"Ethnic wear (Kurtas, sets), Jeans / Trousers",Rarely,"Poor overall proportion, Waist not fitting properly, Sleeves too long",3,"Yes, sometimes",Sometimes,₹100–₹300,Rarely,"Fabric quality, Size inconsistency",Slim fit jeans,Formal shirts,A-line,"Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Unlikely,Maybe,Maybe
